16:29:23.389 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
16:29:23.408 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
16:29:23.433 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
16:29:23.433 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
16:29:23.433 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_0000058C (PID-specific).
16:29:23.434 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_0000058C (PID-specific) has no value.
16:29:23.434 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
16:29:23.664 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=239ms
16:29:23.664 |V| JetEnvironment                | :1                 | HostInit phase completed.
16:29:23.664 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
16:29:23.779 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin”.
16:29:23.815 |V| DeployedPackages              | :1                 | Scanning folder “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin” for Deployed Packages. Picking nugets? True!
